DEPTH,PHIN,BARREL
365,0.457,1
365.25,0.456,1
365.5,0.452,1
365.75,0.475,1
366,0.484,1
366.25,0.474,1
366.5,0.461,1
366.75,0.471,1
367,0.448,1
367.25,0.478,1
367.5,0.552,1
401,0.435,2
401.5,0.418,2
402,0.424,2
402.5,0.477,2
403,0.464,2
403.5,0.419,2
404,0.43,2
404.5,0.441,2
405,0.439,2
405.5,0.426,2
406,0.404,2
406.5,0.467,2
407,0.487,2
407.5,0.51,2
408,0.48,2
408.5,0.442,2
409,0.428,2
409.5,0.408,2
410,0.435,2
410.5,0.452,2
411,0.436,2
411.5,0.426,2
412,0.411,2
412.5,0.368,2
413,0.304,2
413.5,0.257,2
414,0.34,2
414.5,0.38,2
415,0.421,2
500.5,0.418,3
500.75,0.435,3
501,0.406,3
501.25,0.4,3
501.5,0.42,3
501.75,0.45,3
502,0.424,3
502.25,0.414,3
502.5,0.437,3
502.75,0.467,3
503,0.433,3
503.25,0.414,3
503.5,0.401,3
503.75,0.396,3
504,0.408,3
504.25,0.421,3
504.5,0.416,3
504.75,0.417,3
505,0.425,3
505.25,0.437,3
505.5,0.449,3
505.75,0.431,3
506,0.415,3
506.25,0.398,3
506.5,0.403,3
506.75,0.424,3
507,0.417,3
507.25,0.399,3
507.5,0.394,3
507.75,0.406,3
508,0.395,3
508.25,0.404,3
508.5,0.423,3
508.75,0.468,3
509,0.509,3
509.25,0.468,3
509.5,0.449,3
509.75,0.442,3
510,0.432,3
510.25,0.431,3
510.5,0.444,3
510.75,0.481,3
511,0.479,3
511.25,0.459,3
511.5,0.447,3
511.75,0.428,3
512,0.416,3
512.25,0.444,3
512.5,0.444,3
512.75,0.427,3
513,0.422,3
513.25,0.451,3
513.5,0.457,3
513.75,0.457,3
514,0.447,3
514.25,0.426,3
514.5,0.447,3
514.75,0.456,3
515,0.436,3
515.25,0.416,3
515.5,0.4,3
515.75,0.436,3
516,0.464,3
516.25,0.443,3
516.5,0.43,3
516.75,0.447,3
517,0.374,3
517.25,0.257,3
517.5,0.246,3
517.75,0.306,3
518,0.378,3
518.25,0.431,3
518.5,0.434,3
518.75,0.434,3
519,0.433,3
519.25,0.437,3
519.5,0.443,3
519.75,0.448,3
520,0.442,3
520.25,0.429,3
520.5,0.413,3
520.75,0.396,3
521,0.404,3
521.25,0.43,3
521.5,0.45,3
521.75,0.457,3
522,0.461,3
522.25,0.463,3
522.5,0.455,3
522.75,0.425,3
523,0.402,3
523.25,0.411,3
523.5,0.432,3
523.75,0.404,3
524,0.397,3
524.25,0.414,3
524.5,0.428,3
524.75,0.441,3
525,0.41,3
525.25,0.41,3
525.5,0.428,3
525.75,0.444,3
526,0.455,3
526.25,0.447,3
526.5,0.433,3
526.75,0.431,3
527,0.441,3
527.25,0.453,3
527.5,0.46,3
527.75,0.459,3
528,0.449,3
528.25,0.443,3
528.5,0.438,3
528.75,0.423,3
529,0.415,3
529.25,0.405,3
529.5,0.394,3
529.75,0.376,3
530,0.38,3
530.25,0.393,3
530.5,0.4,3
530.75,0.408,3
531,0.41,3
531.25,0.417,3
531.5,0.421,3
531.75,0.401,3
532,0.387,3
532.25,0.391,3
532.5,0.416,3
532.75,0.434,3
533,0.434,3
533.25,0.429,3
533.5,0.44,3
533.75,0.428,3
534,0.41,3
534.25,0.402,3
534.5,0.414,3
534.75,0.402,3
535,0.413,3
535.25,0.428,3
535.5,0.443,3
535.75,0.418,3
536,0.4,3
536.25,0.402,3
536.5,0.428,3
536.75,0.44,3
537,0.452,3
537.25,0.461,3
537.5,0.458,3
537.75,0.442,3
538,0.425,3
538.25,0.404,3
538.5,0.418,3
538.75,0.403,3
539,0.399,3
539.25,0.41,3
539.5,0.418,3
539.75,0.424,3
540,0.423,3
540.25,0.402,3
540.5,0.403,3
540.75,0.417,3
541,0.426,3
541.25,0.438,3
541.5,0.426,3
541.75,0.41,3
542,0.42,3
542.25,0.43,3
542.5,0.434,3
542.75,0.421,3
543,0.408,3
543.25,0.435,3
543.5,0.446,3
543.75,0.433,3
544,0.448,3
544.25,0.452,3
544.5,0.447,3
544.75,0.439,3
545,0.427,3
545.25,0.415,3
545.5,0.421,3
545.75,0.45,3
546,0.448,3
546.25,0.431,3
546.5,0.413,3
546.75,0.4,3
547,0.403,3
547.25,0.435,3
547.5,0.42,3
547.75,0.413,3
548,0.41,3
548.25,0.402,3
548.5,0.393,3
548.75,0.397,3
549,0.404,3
549.25,0.407,3
549.5,0.411,3
549.75,0.422,3
550,0.438,3
550.25,0.387,3
550.5,0.336,3
550.75,0.27,3
551,0.289,3
551.25,0.325,3
551.5,0.424,3
551.75,0.452,3
552,0.457,3
552.25,0.441,3
552.5,0.427,3
552.75,0.413,3
553,0.408,3
553.25,0.416,3
553.5,0.424,3
553.75,0.441,3
554,0.464,3
554.25,0.445,3
554.5,0.425,3
554.75,0.417,3
555,0.416,3
555.25,0.417,3
555.5,0.416,3
555.75,0.424,3
556,0.446,3
556.25,0.435,3
556.5,0.437,3
556.75,0.434,3
557,0.421,3
557.25,0.429,3
557.5,0.422,3
557.75,0.406,3
580,0.407,4
580.25,0.438,4
580.5,0.424,4
580.75,0.416,4
581,0.409,4
581.25,0.402,4
581.5,0.404,4
581.75,0.401,4
582,0.386,4
582.25,0.358,4
582.5,0.312,4
582.75,0.278,4
583,0.341,4
583.25,0.371,4
583.5,0.387,4
583.75,0.404,4
584,0.394,4
584.25,0.391,4
584.5,0.407,4
584.75,0.392,4
585,0.369,4
585.25,0.36,4
585.5,0.349,4
585.75,0.343,4
586,0.348,4
586.25,0.375,4
586.5,0.393,4
586.75,0.409,4
587,0.401,4
587.25,0.39,4
587.5,0.412,4
587.75,0.406,4
588,0.387,4
588.25,0.378,4
588.5,0.385,4
588.75,0.389,4
589,0.405,4
589.25,0.394,4
589.5,0.39,4
589.75,0.408,4
590,0.401,4
590.25,0.392,4
637,0.299,5
637.25,0.295,5
637.5,0.285,5
637.75,0.277,5
638,0.272,5
638.25,0.297,5
638.5,0.402,5
638.75,0.433,5
639,0.48,5
639.25,0.467,5
639.5,0.545,5
639.75,0.483,5
640,0.358,5
640.25,0.305,5
640.5,0.303,5
640.75,0.291,5
641,0.281,5
641.25,0.283,5
641.5,0.298,5
641.75,0.295,5
642,0.281,5
642.25,0.278,5
642.5,0.3,5
642.75,0.329,5
643,0.399,5
643.25,0.39,5
643.5,0.381,5
643.75,0.381,5
644,0.535,5
644.25,0.24,5
644.5,0.203,5
644.75,0.152,5
645,0.09,5
645.25,0.091,5
645.5,0.097,5
645.75,0.088,5
646,0.065,5
646.25,0.055,5
646.5,0.053,5
646.75,0.056,5
647,0.062,5
647.25,0.067,5
647.5,0.072,5
647.75,0.074,5
648,0.074,5
648.25,0.075,5
648.5,0.079,5
648.75,0.088,5
649,0.098,5
649.25,0.111,5
649.5,0.126,5
649.75,0.146,5
650,0.166,5
